Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa de Condomínio;Barra da Tijuca;3;6;1;420;6900.0;992.0;773.0;16.43;Casa
Casa de Condomínio;Barra da Tijuca;6;6;3;622;9950.0;1300.0;1485.0;16.0;Casa
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;1124.0;16.09;Casa
Casa de Condomínio;Campo Grande;2;1;0;74;1200.0;0.0;0.0;16.22;Casa
Casa de Condomínio;Jacarepaguá;1;0;0;230;2750.0;300.0;400.0;11.96;Casa
Casa de Condomínio;Guaratiba;4;4;3;550;5500.0;250.0;0.0;10.0;Casa
Casa de Condomínio;Barra da Tijuca;5;0;5;650;10000.0;2000.0;8000.0;15.38;Casa
Casa de Condomínio;Barra da Tijuca;4;2;4;350;9000.0;1050.0;7000.0;25.71;Casa
Casa de Condomínio;Barra da Tijuca;5;4;4;474;20000.0;973.0;17300.0;42.19;Casa
Casa de Condomínio;Itanhangá;6;0;5;636;24000.0;1900.0;1900.0;37.74;Casa
Casa de Condomínio;Itanhangá;5;3;4;220;4500.0;670.0;220.0;20.45;Casa
Casa de Condomínio;Barra da Tijuca;5;10;5;403;10900.0;855.0;968.0;27.05;Casa
Casa de Condomínio;Barra da Tijuca;4;4;2;385;7500.0;1150.0;750.0;19.48;Casa
Casa de Condomínio;Barra da Tijuca;5;4;5;631;18000.0;980.0;1800.0;28.53;Casa
Casa de Condomínio;Joá;6;35;4;1100;22000.0;0.0;0.0;20.0;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;145;2500.0;463.0;0.0;17.24;Casa
Casa de Condomínio;Barra da Tijuca;4;4;2;600;30000.0;1100.0;13999.0;50.0;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;250;4500.0;900.0;519.0;18.0;Casa
Casa de Condomínio;Barra da Tijuca;4;0;4;250;13000.0;600.0;0.0;52.0;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;355;9000.0;707.0;600.0;25.35;Casa
Casa de Condomínio;Barra da Tijuca;4;4;4;869;24000.0;2220.0;2269.0;27.62;Casa
Casa de Condomínio;Vargem Grande;4;4;1;220;3300.0;723.0;0.0;15.0;Casa
Casa de Condomínio;Taquara;8;0;0;720;6000.0;500.0;100.0;8.33;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;260;12500.0;0.0;0.0;48.08;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;3;3;153;3500.0;900.0;100.0;22.88;Casa
Casa de Condomínio;Barra da Tijuca;4;0;4;590;20000.0;2000.0;0.0;33.9;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;2;1;250;6000.0;955.0;542.0;24.0;Casa
Casa de Condomínio;Barra da Tijuca;4;5;1;680;7500.0;150.0;950.0;11.03;Casa
Casa de Condomínio;Barra da Tijuca;5;6;5;755;14000.0;2200.0;2000.0;18.54;Casa
Casa de Condomínio;Barra da Tijuca;6;4;4;720;12000.0;800.0;0.0;16.67;Casa
Casa de Condomínio;Botafogo;5;0;0;600;18000.0;0.0;2300.0;30.0;Casa
Casa de Condomínio;Guaratiba;2;2;2;75;1800.0;0.0;0.0;24.0;Casa
Casa de Condomínio;Maria da Graça;3;1;0;78;1200.0;375.0;29.0;15.38;Casa
Casa de Condomínio;Barra da Tijuca;6;0;4;700;30000.0;2100.0;700.0;42.86;Casa
Casa de Condomínio;Barra da Tijuca;5;9;4;870;28000.0;1650.0;0.0;32.18;Casa
Casa de Condomínio;Barra da Tijuca;3;6;1;420;6900.0;1042.0;773.0;16.43;Casa
Casa de Condomínio;Barra da Tijuca;5;5;4;900;12000.0;1500.0;25000.0;13.33;Casa
Casa de Condomínio;Vargem Grande;4;3;2;200;3600.0;600.0;0.0;18.0;Casa
Casa de Condomínio;Joá;3;7;3;320;7500.0;1900.0;950.0;23.44;Casa
Casa de Condomínio;Vargem Grande;5;3;5;350;4500.0;400.0;1.0;12.86;Casa
Casa de Condomínio;Barra da Tijuca;5;2;4;285;9500.0;600.0;500.0;33.33;Casa
Casa de Condomínio;Barra da Tijuca;4;4;4;674;25000.0;2100.0;2000.0;37.09;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;381;9000.0;706.0;0.0;23.62;Casa
Casa de Condomínio;Leblon;4;2;0;800;30000.0;2000.0;1000.0;37.5;Casa
Casa de Condomínio;Freguesia (Jacarepaguá);3;6;1;272;3000.0;472.0;259.0;11.03;Casa
Casa de Condomínio;Barra da Tijuca;5;3;5;775;25000.0;2134.0;20987.0;32.26;Casa
Casa de Condomínio;Barra da Tijuca;4;4;3;256;7900.0;1495.0;700.0;30.86;Casa
Casa de Condomínio;São Conrado;4;2;2;400;9000.0;850.0;450.0;22.5;Casa
Casa de Condomínio;Barra da Tijuca;4;2;1;258;6500.0;1500.0;650.0;25.19;Casa
Casa de Condomínio;Vargem Pequena;2;1;2;90;1800.0;0.0;0.0;20.0;Casa
Casa de Condomínio;Barra da Tijuca;4;3;3;260;7900.0;1495.0;700.0;30.38;Casa
Casa de Condomínio;Barra da Tijuca;5;4;4;628;11000.0;1700.0;2200.0;17.52;Casa
Casa de Condomínio;Barra da Tijuca;4;6;4;500;25000.0;1586.0;1298.0;50.0;Casa
Casa de Condomínio;Barra da Tijuca;5;4;5;300;9000.0;580.0;680.0;30.0;Casa
Casa de Condomínio;Itanhangá;3;1;0;70;1850.0;227.0;0.0;26.43;Casa
Casa de Condomínio;Pedra de Guaratiba;2;1;0;60;800.0;300.0;0.0;13.33;Casa
Casa de Condomínio;Barra da Tijuca;4;2;3;330;9000.0;860.0;0.0;27.27;Casa
Casa de Condomínio;Campo Grande;2;1;0;78;1000.0;0.0;0.0;12.82;Casa
Casa de Condomínio;Barra da Tijuca;5;5;5;780;30000.0;1700.0;800.0;38.46;Casa
Casa de Condomínio;Taquara;4;2;4;160;2800.0;250.0;250.0;17.5;Casa
Casa de Condomínio;Barra da Tijuca;4;2;4;350;13000.0;1500.0;1000.0;37.14;Casa
Casa de Condomínio;Barra da Tijuca;4;4;3;622;10000.0;1380.0;1486.0;16.08;Casa
Casa de Condomínio;Vargem Grande;3;2;1;135;2000.0;830.0;120.0;14.81;Casa
Casa de Condomínio;Barra da Tijuca;6;4;6;700;25000.0;1600.0;1200.0;35.71;Casa
Casa de Condomínio;Barra da Tijuca;5;3;5;338;12000.0;900.0;1000.0;35.5;Casa
Casa de Condomínio;Barra da Tijuca;5;0;5;850;20000.0;2150.0;2600.0;23.53;Casa
